categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori_split
Scarpe Sportive,40.0,uomo,MIZUNO,WAVE LIGHTNING Z8 UNISEX - Scarpe da pallavolo - neo mint/black/frontier blue,143.99,159.99,https://www.zalando.it/mizuno-wave-lightning-z8-unisex-scarpe-da-pallavolo-neo-mintblackfrontier-blue-m2744a00o-m11.html?size=40,WAVE LIGHTNING Z8 UNISEX,scarpe da pallavolo,neo mint/black/frontier blue
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,INFINITE MVMNT SE - Scarpe da allenamento - white,129.99,129.99,https://www.zalando.it/under-armour-infinite-se-scarpe-da-allenamento-white-un244a030-a13.html?size=40,INFINITE MVMNT SE,scarpe da allenamento,white
Scarpe Sportive,40.0,uomo,PUMA GOLF,FUSION CLASSIC - Scarpe da golf - navy blazer,139.99,139.99,https://www.zalando.it/puma-golf-fusion-classic-scarpe-da-golf-navy-blazer-pu542a037-k11.html?size=40,FUSION CLASSIC,scarpe da golf,navy blazer
Scarpe Sportive,40.0,uomo,PUMA,KING ULTIMATE MXSG - Scarpe da calcio con tacchetti - black/white/cool dark gray,175.99,219.99,https://www.zalando.it/puma-king-ultimate-mxsg-scarpe-da-calcio-con-tacchetti-blackwhitecool-dark-gray-pu142a1uo-q11.html?size=40,KING ULTIMATE MXSG,scarpe da calcio con tacchetti,black/white/cool dark gray
Scarpe Sportive,40.0,uomo,PUMA,DAGGER UNISEX - Scarpe da basket - red/black,50.99,84.99,https://www.zalando.it/puma-dagger-scarpe-da-basket-redblack-pu142a1xk-a11.html?size=40,DAGGER UNISEX,scarpe da basket,red/black
Scarpe Sportive,40.0,uomo,PUMA,ULTRA 5 ULTIMATE - Scarpe da calcetto con tacchetti - white/black/glowing red,184.99,229.99,https://www.zalando.it/puma-ultra-5-ultimate-fg-scarpe-da-calcetto-con-tacchetti-whiteblackglowing-red-pu142a1wi-a11.html?size=40,ULTRA 5 ULTIMATE,scarpe da calcetto con tacchetti,white/black/glowing red
Scarpe Sportive,40.0,uomo,ASICS,GT-1000 13 - Scarpe da corsa su strada - black digital aqua,117.0,130.0,https://www.zalando.it/asics-scarpe-da-corsa-stabili-black-digital-aqua-as142a172-q12.html?size=40,GT 1000 13,scarpe da corsa su strada,black digital aqua
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,INFINITE PRO UNISEX - Scarpe da trail running - ares red/black,139.99,139.99,https://www.zalando.it/under-armour-infinite-pro-scarpe-da-trail-running-ares-redblack-un242a0mq-g11.html?size=40,INFINITE PRO UNISEX,scarpe da trail running,ares red/black
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,CHARGED ROGUE 5 - Scarpe da corsa su strada - black/white,84.99,84.99,https://www.zalando.it/under-armour-charged-rogue-5-scarpe-da-corsa-su-strada-blackwhite-un242a0ne-q11.html?size=40,CHARGED ROGUE 5,scarpe da corsa su strada,black/white
Scarpe Sportive,40.0,uomo,ASICS,COURT 3 - Scarpe da tennis per tutte le superfici - white/greyish purple,160.99,189.99,https://www.zalando.it/asics-court-3-scarpe-da-tennis-per-tutte-le-superfici-whitegreyish-purple-as142a17c-a11.html?size=40,COURT 3,scarpe da tennis per tutte le superfici,white/greyish purple
Scarpe Sportive,40.0,uomo,ASICS,SOLUTION SPEED 3 - Scarpe da tennis per tutte le superfici - white/black,149.99,149.99,https://www.zalando.it/asics-solution-speed-ff-3-scarpe-da-tennis-per-tutte-le-superfici-whiteblack-as142a13y-a11.html?size=40,SOLUTION SPEED 3,scarpe da tennis per tutte le superfici,white/black
